Series_Title,Overview,concatenated_text
Aladdin,A kindhearted street urchin and a powerhungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true,Aladdin A kindhearted street urchin and a powerhungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true
JFK,New Orleans District Attorney Jim Garrison discovers theres more to the Kennedy assassination than the official story,JFK New Orleans District Attorney Jim Garrison discovers theres more to the Kennedy assassination than the official story
Beauty and the Beast,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young womans love,Beauty and the Beast A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young womans love
Dances with Wolves,Lieutenant John Dunbar assigned to a remote western Civil War outpost befriends wolves and Indians making him an intolerable aberration in the military,Dances with Wolves Lieutenant John Dunbar assigned to a remote western Civil War outpost befriends wolves and Indians making him an intolerable aberration in the military
Do the Right Thing,On the hottest day of the year on a street in the BedfordStuyvesant section of Brooklyn everyones hate and bigotry smolders and builds until it explodes into violence,Do the Right Thing On the hottest day of the year on a street in the BedfordStuyvesant section of Brooklyn everyones hate and bigotry smolders and builds until it explodes into violence
Rain Man,Selfish yuppie Charlie Babbitts father left a fortune to his savant brother Raymond and a pittance to Charlie they travel crosscountry,Rain Man Selfish yuppie Charlie Babbitts father left a fortune to his savant brother Raymond and a pittance to Charlie they travel crosscountry
Akira,A secret military project endangers NeoTokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics,Akira A secret military project endangers NeoTokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics
The Princess Bride,While home sick in bed a young boys grandfather reads him the story of a farmboyturnedpirate who encounters numerous obstacles enemies and allies in his quest to be reunited with his true love,The Princess Bride While home sick in bed a young boys grandfather reads him the story of a farmboyturnedpirate who encounters numerous obstacles enemies and allies in his quest to be reunited with his true love
Der Himmel ber Berlin,An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal,Der Himmel ber Berlin An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal
Au revoir les enfants,A French boarding school run by priests seems to be a haven from World War II until a new student arrives He becomes the roommate of the top student in his class Rivals at first the roommates form a bond and share a secret,Au revoir les enfants A French boarding school run by priests seems to be a haven from World War II until a new student arrives He becomes the roommate of the top student in his class Rivals at first the roommates form a bond and share a secret
Tenk no shiro Rapyuta,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle,Tenk no shiro Rapyuta A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle
The Terminator,A human soldier is sent from to to stop an almost indestructible cyborg killing machine sent from the same year which has been programmed to execute a young woman whose unborn son is the key to humanitys future salvation,The Terminator A human soldier is sent from to to stop an almost indestructible cyborg killing machine sent from the same year which has been programmed to execute a young woman whose unborn son is the key to humanitys future salvation
